feature,gain
numeric__missingindicator_revenue_vs_6m,6.248690128326416
numeric__blck_dat_Mean,4.691780090332031
numeric__missingindicator_customer_care_minutes_per_call,4.545179843902588
numeric__callfwdv_Mean,0.0
numeric__missingindicator_mou_Mean,0.0
numeric__missingindicator_rev_Mean,0.0
numeric__missingindicator_ovrmou_Mean,0.0
numeric__missingindicator_ovrrev_Mean,0.0
numeric__missingindicator_call_completion_rate,0.0
numeric__missingindicator_eqpdays,0.0
numeric__missingindicator_forgntvl,0.0
numeric__missingindicator_rv,0.0
numeric__missingindicator_phones,0.0
numeric__missingindicator_models,0.0
numeric__missingindicator_da_Mean,0.0
numeric__missingindicator_totmrc_Mean,0.0
numeric__missingindicator_roam_Mean,0.0
numeric__missingindicator_datovr_Mean,0.0
numeric__missingindicator_vceovr_Mean,0.0
numeric__missingindicator_avg6rev,0.0
numeric__missingindicator_voice_unanswered_rate,0.0
numeric__missingindicator_voice_block_rate,0.0
numeric__missingindicator_voice_drop_rate,0.0
numeric__missingindicator_call_failure_rate,0.0
numeric__missingindicator_minutes_per_call,0.0
numeric__missingindicator_received_voice_share,0.0
numeric__missingindicator_offpeak_voice_share,0.0
numeric__missingindicator_data_block_rate,0.0
numeric__missingindicator_handsets_per_active_subscriber,0.0
numeric__missingindicator_customer_care_calls_per_100_calls,0.0
numeric__missingindicator_recurring_revenue_share,0.0
numeric__missingindicator_equipment_age_to_tenure,0.0
numeric__missingindicator_models_per_handset,0.0
numeric__missingindicator_current_to_lifetime_usage,0.0
numeric__missingindicator_current_to_3m_revenue,0.0
numeric__missingindicator_current_to_lifetime_revenue,0.0
numeric__missingindicator_overage_revenue_share,0.0
numeric__missingindicator_peak_voice_share,0.0
numeric__missingindicator_usage_vs_6m,0.0
numeric__missingindicator_usage_vs_3m,0.0
numeric__missingindicator_revenue_vs_3m,0.0
categorical__missingindicator_area,0.0
categorical__missingindicator_dualband,0.0
categorical__missingindicator_refurb_new,0.0
categorical__missingindicator_marital,0.0
categorical__missingindicator_ethnic,0.0
categorical__missingindicator_kid0_2,0.0
categorical__missingindicator_kid3_5,0.0
categorical__missingindicator_kid6_10,0.0
categorical__missingindicator_kid11_15,0.0
categorical__missingindicator_kid16_17,0.0
categorical__missingindicator_creditcd,0.0
